,Brand,Color,Touchscreen,Display_size_inches,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera Available,Wi-Fi,Battery Capacity,SmartPhone,X_res,Y_res,Processor,5G,price
562,realme,Any Color,1,6.72,Android 13,8,128.0,64.0,1,1,5000,1,2400,1080,Dimensity,1,14999
563,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Helio,0,9999
564,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Helio,0,9999
565,Infinix,Any Color,1,6.6,Android 12,8,128.0,13.0,1,1,6000,1,1612,720,Qualcomm,0,7799
566,SAMSUNG,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,6000,1,1080,2400,Bionic Chip,1,17399
567,SAMSUNG,Any Color,1,6.5,Android 12,8,64.0,13.0,1,1,5000,1,1600,720,Helio,0,8499
568,REDMI,Any Color,1,6.6,Android 12,8,256.0,64.0,1,1,5080,1,2460,1080,Dimensity,1,23999
569,realme,Any Color,1,6.5,Android 12,8,32.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,6999
570,SAMSUNG,Any Color,1,6.6,Android 13,8,128.0,50.0,1,1,6000,1,2408,1080,Exynos,1,13990
572,SAMSUNG,Any Color,1,6.7,Android,8,128.0,64.0,1,1,7000,1,2400,1080,Exynos,0,19990
573,APPLE,Any Color,1,6.1,Ios,6,128.0,48.0,1,1,3200,1,2556,1179,Bionic Chip,1,119900
574,APPLE,Any Color,1,6.1,Ios,8,128.0,12.0,1,1,3200,1,2532,1170,Bionic Chip,1,51999
575,realme,Any Color,1,6.74,Android 13,8,64.0,50.0,1,1,5000,1,2400,1080,Bionic Chip,0,9770
576,Tecno,Any Color,1,6.56,Android 12,8,32.0,13.0,1,1,5000,1,720,1600,Qualcomm,0,6795
577,REDMI,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Bionic Chip,0,8499
578,IQOO,Any Color,1,6.68,Android 12,4,128.0,50.0,1,1,5000,1,2400,1080,Bionic Chip,1,14990
581,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1080,2408,Dimensity,1,13208
582,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1080,2408,Dimensity,1,13208
583,realme,Any Color,1,6.5,Android 12,8,64.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,8499
584,APPLE,Black,1,6.1,Ios,8,128.0,12.0,1,1,5000,1,2532,1170,Bionic Chip,1,51999
585,SAMSUNG,Any Color,1,6.6,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Exynos,1,19999
588,realme,Any Color,1,6.74,Android 13,8,128.0,50.0,1,1,5000,1,2400,1080,Bionic Chip,0,11583
589,REDMI,Any Color,1,6.67,Android 12,8,256.0,48.0,1,1,5000,1,2400,1080,Snapdragon,1,20999
590,realme,Any Color,1,6.5,Android 12,8,64.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,8499
591,MOTOROLA,Any Color,1,6.55,Android 12,8,128.0,50.0,1,1,4400,1,2400,1080,Snapdragon,1,42999
593,itel,Any Color,1,6.6,Android 12,8,32.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,5989
594,REDMI,Any Color,1,6.67,Android 12,8,256.0,200.0,1,1,4980,1,2400,1080,Dimensity,1,32999
596,APPLE,Any Color,1,6.7,Ios,6,256.0,48.0,1,1,5000,1,2796,1290,Bionic Chip,1,99900
597,APPLE,Any Color,1,6.7,Ios,6,128.0,48.0,1,1,5000,1,2796,1290,Bionic Chip,1,127999
599,SAMSUNG,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,6000,1,720,2408,Bionic Chip,0,13000
606,itel,Any Color,1,6.6,Android 12,8,32.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,5897
608,itel,Any Color,1,6.6,Android 12,6,32.0,13.0,1,1,6000,1,1612,720,Bionic Chip,0,6599
609,APPLE,Any Color,1,4.7,Ios,6,64.0,12.0,1,1,6000,1,1334,750,Bionic Chip,1,32699
610,APPLE,Any Color,1,6.7,Ios,6,512.0,12.0,1,1,6000,1,2778,1284,Bionic Chip,1,109999
611,Infinix,Any Color,1,6.8,Android 12,8,256.0,200.0,1,1,4500,1,2400,1080,Dimensity,1,36999
612,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1080,2408,Dimensity,1,13208
613,itel,Any Color,1,6.6,Android,8,64.0,13.0,1,1,6000,1,1612,720,Bionic Chip,0,6965
617,REDMI,Any Color,1,6.52,Android 12,8,32.0,50.0,1,1,5000,1,1600,720,Helio,0,6476
618,itel,Any Color,1,6.6,Android 12,6,32.0,13.0,1,1,6000,1,1612,720,Bionic Chip,0,6599
620,REDMI,Any Color,1,6.52,Android 12,8,32.0,50.0,1,1,5000,1,1600,720,Helio,0,6699
622,OPPO,Any Color,1,6.74,Android 13,8,256.0,50.0,1,1,4700,1,2772,1240,Snapdragon,1,54999
623,Nothing,Any Color,1,6.7,Android 13,8,512.0,50.0,1,1,4700,1,2412,1080,Snapdragon,1,54999
624,KARBONN,Black,1,1.8,Android 12,8,128.0,0.3,1,0,1000,0,128,160,Bionic Chip,0,949
628,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,50.0,1,1,5000,1,1600,720,Helio,0,9999
631,Tecno,Any Color,1,6.56,Android 12,8,64.0,12.0,1,1,5000,1,1612,720,Bionic Chip,0,7490
633,SAMSUNG,Any Color,1,6.6,Android 13,8,256.0,48.0,1,1,5000,1,1080,2340,Dimensity,1,30999
634,itel,Any Color,1,6.52,Android,8,32.0,50.0,1,1,5000,1,1600,720,Qualcomm,0,6283
636,Nothing,Any Color,1,6.7,Android 13,8,128.0,50.0,1,1,4700,1,2412,1080,Snapdragon,1,44999
637,vivo,Any Color,1,6.44,Android 12,8,128.0,50.0,1,1,5000,1,2400,1080,Snapdragon,0,14499
639,OPPO,Any Color,1,6.56,Android 12,8,64.0,50.0,1,1,5000,1,1612,720,Helio,0,11999
640,APPLE,Any Color,1,6.1,Ios,6,128.0,48.0,1,1,5000,1,2556,1179,Bionic Chip,1,119900
641,Tecno,Any Color,1,6.56,Android 12,8,64.0,12.0,1,1,5000,1,1612,720,Bionic Chip,0,7199
643,APPLE,Any Color,1,6.7,Ios,6,128.0,48.0,1,1,4323,1,2796,1290,Bionic Chip,1,127999
644,Tecno,Any Color,1,6.9,Android 12,8,64.0,50.0,1,1,7000,1,1080,2460,Helio,0,10598
646,OPPO,Any Color,1,6.7,Android 13,8,128.0,108.0,1,1,4800,1,2412,1080,Snapdragon,1,29999
650,APPLE,Any Color,1,6.1,Ios,6,256.0,48.0,1,1,3600,1,2556,1179,Qualcomm,1,144900
651,SAMSUNG,Any Color,1,6.7,Android,8,128.0,12.0,1,1,3300,1,2640,1080,Snapdragon,1,95999
652,OnePlus,Any Color,1,6.7,Android 13,8,128.0,50.0,1,1,5000,1,2772,1240,Bionic Chip,1,39688
654,vivo,Any Color,1,6.56,Android 12,8,256.0,108.0,1,1,4300,1,2376,1080,Dimensity,1,33980
659,POCO,Any Color,1,6.67,Android 13,8,256.0,64.0,1,1,5000,1,2400,1080,Snapdragon,1,30999
661,OnePlus,Any Color,1,6.7,Android 13,8,256.0,50.0,1,1,5000,1,3216,1440,Bionic Chip,1,59838
663,REDMI,Any Color,1,6.67,Android 12,8,256.0,50.0,1,1,5000,1,2400,1080,Dimensity,1,28999
665,vivo,Any Color,1,6.44,Android 12,8,128.0,50.0,1,1,5000,1,2400,1080,Snapdragon,0,17999
666,SAMSUNG,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,6000,1,2400,1080,Bionic Chip,0,10639
667,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1080,2408,Dimensity,1,15321
668,OPPO,Any Color,1,6.74,Android 13,8,256.0,50.0,1,1,4700,1,2772,1240,Snapdragon,1,54999
670,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1080,2408,Dimensity,1,15321
671,APPLE,Any Color,1,6.1,Ios,6,512.0,12.0,1,1,5000,1,2532,1170,Bionic Chip,1,99999
674,APPLE,Any Color,1,6.7,Ios,6,512.0,48.0,1,1,800,1,2796,1290,Qualcomm,1,179900
675,Infinix,Any Color,1,6.7,Android 12,8,128.0,108.0,1,1,4500,1,2400,1080,Qualcomm,0,17999
676,SAMSUNG,Any Color,1,6.5,Android 12,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,14999
677,SAMSUNG,Any Color,1,6.4,Android 13,8,256.0,50.0,1,1,5000,1,2340,1080,Exynos,1,38999
680,REDMI,Black,1,6.52,Android,8,32.0,50.0,1,1,5000,1,1080,1920,Bionic Chip,0,6490
